run,precision,recall,f1,specificity
0,0.6996188809300672,0.7014255667211965,0.6893480320636197,0.9784572748688255
1,0.7001038876187202,0.702079925216172,0.6897878649952783,0.9785044670047839
2,0.7008827627948216,0.7028745033886422,0.6905625077789075,0.9785647227761297
3,0.7003426927034532,0.7019397055386772,0.6898779208405923,0.9784929814578012
4,0.7000019426568224,0.7020331853236738,0.6897381050509536,0.9784716215766303
5,0.7002671189597744,0.7024071044636597,0.6903156515605128,0.978525255989061
6,0.7006928470831338,0.7026875438186492,0.6903997022390341,0.9785342813495324
7,0.7010839251072069,0.7029212432811405,0.6909149805578721,0.9785540441362751
8,0.7003365957566335,0.7024071044636597,0.6902004857362454,0.9785309484361139
9,0.7005169981000781,0.7017527459686843,0.6896264124213596,0.9784906600554344
10,0.7002450221399857,0.7024071044636597,0.690084152538293,0.9785068847478335
11,0.7005352832709134,0.702640803926151,0.6902677582170597,0.9785317835900935
12,0.6995833022349004,0.7017994858611826,0.6895728672450184,0.9784834380868574
13,0.6994898586513597,0.7017527459686843,0.6894241357475243,0.9784479687565953
14,0.6994494287985225,0.701706006076186,0.6895427131968418,0.978485112524591
15,0.7001863697214188,0.7018462257536807,0.6897502263689494,0.9784706594669382
16,0.701173723565579,0.7027342837111474,0.6905539729961563,0.978550591143033
17,0.7000771726219936,0.7021266651086703,0.6899424185177503,0.9785025452452042
18,0.7003335575665495,0.7019397055386772,0.6897284454800793,0.9784815667284508
19,0.6997151627074424,0.7016592661836878,0.6892910976068252,0.9784728421063171
20,0.6992428687582924,0.7017994858611826,0.6896412875088214,0.9784774975884264
21,0.7005419595053308,0.7022201448936668,0.690058511739807,0.9784979613397325
22,0.7006362820859091,0.7023603645711615,0.6902123889459858,0.9785042376264653
23,0.7005450878354648,0.702453844356158,0.690342557265049,0.9785065353158555
24,0.6993888516409297,0.7016125262911895,0.6894432168487448,0.9784553968313334
25,0.701625914774875,0.7035756017761159,0.6911583839471663,0.978589339431515
