metric,mean,ci95_low,ci95_high
precision,0.7002224174795082,0.7001197160449492,0.7003251189140672
recall,0.7022257536807665,0.7021376888401175,0.7023138185214154
f1,0.6899885577726681,0.6898969069439886,0.6900802086013476
specificity,0.9785076105396743,0.9785012835616059,0.9785139375177426
